image_name,image_relative_path,preannotation_relative_path,domain,recording_id,source_frame_index,timestamp_ns,split_group,selection_reason,expected_classes,failure_mode_candidate,hand_visibility_candidate,route_segment,route_progression,pairing_id,image_sha256,preannotation_sha256
car_2e84f0c3e245_002340.jpg,images/car_2e84f0c3e245_002340.jpg,,car,car_2e84f0c3e245,2340,1289259554796,external_validation,"[external_validation] adds 14 previously uncovered strata: cockpit:prominent, domain:car, geometry:turning, hand:left:visible, hand:right:out_of_frame, light:normal","['other_environment', 'pedestrian', 'regulatory_road_marking', 'road_boundary_or_obstacle', 'road_surface', 'traffic_sign', 'two_wheeler', 'vehicle']",,"{'left': 'visible', 'right': 'out_of_frame'}",q2,0.5664984740326751,,8c40f9ee26ad34c9a877c709dbc6359f42fcda1339797dbf0c97113535c27e4e,
car_2e84f0c3e245_002110.jpg,images/car_2e84f0c3e245_002110.jpg,,car,car_2e84f0c3e245,2110,1266262212538,external_validation,"[external_validation] adds 7 previously uncovered strata: geometry:straight, hand:left:partially_visible, hand:right:visible, light:dark, motion:low, route:q1","['other_environment', 'regulatory_road_marking', 'road_boundary_or_obstacle', 'road_surface', 'traffic_sign', 'vehicle']",,"{'left': 'partially_visible', 'right': 'visible'}",q1,0.48087274234624655,,dbc2e897f7d0c3f62a4ec97d3d93de174de5b14641551c04e5d6e95a2726d1ff,
car_2e84f0c3e245_000870.jpg,images/car_2e84f0c3e245_000870.jpg,,car,car_2e84f0c3e245,870,1142271674307,external_validation,"[external_validation] adds 3 previously uncovered strata: hand:right:partially_visible, motion:medium, route:q0","['lane_marking', 'other_environment', 'pedestrian', 'regulatory_road_marking', 'road_boundary_or_obstacle', 'road_surface', 'vehicle']",,"{'left': 'visible', 'right': 'partially_visible'}",q0,0.0,,d258cf48658029fd1237c3e212d865e9934e1371e8da126b0f96b54519ffd742,
car_2e84f0c3e245_002400.jpg,images/car_2e84f0c3e245_002400.jpg,,car,car_2e84f0c3e245,2400,1295258580411,external_validation,"[external_validation] adds 2 previously uncovered strata: cockpit:minimal, hand:left:out_of_frame","['lane_marking', 'other_environment', 'road_boundary_or_obstacle', 'road_surface', 'traffic_sign', 'vehicle']",,"{'left': 'out_of_frame', 'right': 'out_of_frame'}",q2,0.5717370226020317,,691d522f00dda14dbda7be6584006602c49c3dedc7bdd3cc253d1d84747803f2,
car_2e84f0c3e245_003760.jpg,images/car_2e84f0c3e245_003760.jpg,,car,car_2e84f0c3e245,3760,1431249542724,external_validation,"[external_validation] adds 2 previously uncovered strata: hand:right:not_visible, route:q3","['other_environment', 'pedestrian', 'road_boundary_or_obstacle', 'road_surface', 'traffic_sign']",,"{'left': 'visible', 'right': 'not_visible'}",q3,1.0,,b11b6637c16f41fcf279c12b91d3150f9e66dfe28fe2edd4a5a6b9a87dd412dd,
car_2e84f0c3e245_002370.jpg,images/car_2e84f0c3e245_002370.jpg,,car,car_2e84f0c3e245,2370,1292259339693,external_validation,[external_validation] adds 1 previously uncovered strata: light:bright,"['lane_marking', 'other_environment', 'pedestrian', 'road_boundary_or_obstacle', 'road_surface', 'traffic_sign', 'two_wheeler', 'vehicle']",,"{'left': 'visible', 'right': 'out_of_frame'}",q2,0.5699013375958301,,672d493c2678216385504b81639cc1e0bec4a283f8aaf2e052b22801700a5011,
car_2e84f0c3e245_000010.jpg,images/car_2e84f0c3e245_000010.jpg,,car,car_2e84f0c3e245,10,1056278117536,external_validation,[external_validation] adds 1 previously uncovered strata: hand:left:not_visible,"['other_environment', 'regulatory_road_marking', 'road_boundary_or_obstacle', 'road_surface', 'traffic_light', 'vehicle']",,"{'left': 'not_visible', 'right': 'out_of_frame'}",q0,0.0,,a3cc0f083d12ca15bc679e9704c30aeede14d20121d94f77a964d4a77449169f,
car_2e84f0c3e245_001810.jpg,images/car_2e84f0c3e245_001810.jpg,,car,car_2e84f0c3e245,1810,1236264350027,external_validation,[external_validation] adds 1 previously uncovered strata: cockpit:partial,"['other_environment', 'pedestrian', 'road_boundary_or_obstacle', 'road_surface', 'vehicle']",,"{'left': 'visible', 'right': 'out_of_frame'}",q1,0.3409224329978936,,46a463ddb0fc6c2a1e25d2f482e4ec98c408be11471659356464c6abd0cd15db,
car_2e84f0c3e245_001560.jpg,images/car_2e84f0c3e245_001560.jpg,,car,car_2e84f0c3e245,1560,1211266549339,external_validation,[external_validation] extends coverage of already represented conditions,"['lane_marking', 'other_environment', 'pedestrian', 'regulatory_road_marking', 'road_boundary_or_obstacle', 'road_surface', 'traffic_sign', 'vehicle']",,"{'left': 'visible', 'right': 'out_of_frame'}",q1,0.29371805013912444,,e4e0cb6f89b3a6ed864e543129f0469c1f777675f7898ded31d637763d02bc03,
car_2e84f0c3e245_001680.jpg,images/car_2e84f0c3e245_001680.jpg,,car,car_2e84f0c3e245,1680,1223265645495,external_validation,[external_validation] extends coverage of already represented conditions,"['lane_marking', 'other_environment', 'pedestrian', 'regulatory_road_marking', 'road_boundary_or_obstacle', 'road_surface', 'traffic_sign', 'vehicle']",,"{'left': 'visible', 'right': 'out_of_frame'}",q1,0.3282383319508213,,ea902350d327c69c2cfb3e48e2caae7df105bb3aba78e8a0cf2abf89fe2b48a1,
